plan,district,modelled_outcome_22,GOV_22,USS_22,WAG_22,WST_22,PRE_20,GOV_18,USS_18,WAG_18,PRE_16,USS_16,GOV_14,WAG_14,GOV_12,PRE_12,USS_12
evers24_wsa,24,-21.53257928352657,-12.740389914287793,-18.148547563959273,-16.07830952975607,-19.866469305149565,-14.893789586019807,-31.240191105332006,-18.37400038573823,-30.576525293749558,-23.09213522033668,-35.09100101317622,-43.76438958040122,-44.26033747570091,-43.094471826036994,-31.296861166224012,-31.61798829609576
evers24_wsa,25,-18.907852601310466,-12.890616009001654,-18.03228489948777,-12.235011647424477,-17.194866665981102,-15.424156417533903,-15.342564143489879,-0.004006570776071694,-12.167730467803178,-15.013802622498273,-17.819854892939308,-18.196967172137978,-14.409900650907852,-22.700340697561987,2.050591498613935,1.9024730550674274
evers24_wsa,26,4.176209899626684,5.5291241722516595,1.1372647617664267,3.8225569459594597,1.2323071566061938,3.5492396938180013,-0.12103920805775492,11.558554636482372,0.8022445311472504,3.2253191328650233,-2.0202404504641613,-8.987767298533939,-6.633649221391496,-12.008590339309427,10.831015083205353,7.145522917171898
evers24_wsa,27,-34.954272354651984,-29.275013460868465,-33.930499968235814,-30.211810012836978,-33.80884450784593,-29.306302946347696,-33.114440363099696,-20.607335056632124,-31.659101249491815,-28.7260146929201,-34.683419333477346,-38.61084276385445,-36.725413695090026,-40.44093667174348,-23.497335608274682,-23.93319022621211
evers24_wsa,28,-32.67282662659284,-24.991417300174984,-29.88490838019637,-28.152922576719536,-28.679600243275278,-27.566357531180046,-18.59789941081035,-9.980254120879122,-17.93382384578977,-26.44763431119782,-23.933051419636826,-20.256503077002634,-18.242885856341907,-22.818688905106438,-11.930605526046673,-8.630809649286936
evers24_wsa,29,-30.41037467013541,-20.01267376925819,-26.594182770524977,-21.474397290296878,-23.537442280666532,-23.46835365291896,-14.952506034544971,0.08236878725070285,-13.462338811878617,-21.16308111505979,-16.811167213989986,-13.38721403660278,-10.194334061267885,-20.209971490172418,1.5129684787217212,1.8029117933929362
evers24_wsa,3,-26.966450849132325,-22.68388545760809,-26.990216090659537,-22.436397136985324,-27.34721625876628,-22.728833934398075,-24.838687485327455,-10.971080120413212,-23.35779156281802,-23.81499780598237,-29.06639412488467,-32.99106773577534,-30.50699113895467,-34.765700642746765,-12.658117975978628,-12.573255118367188
evers24_wsa,30,-5.2527553732168695,-0.34304116493979464,-3.808723657494928,-3.637067812125905,-5.2212514092446485,-1.0827209975506569,-2.251379701034323,4.146028251696943,-2.111486486486486,-6.692764237908827,-12.614840989399296,-13.73205741626794,-12.021053570632045,-15.373025869009115,-5.539775907373312,-3.8657688330023365
evers24_wsa,31,-26.32113147757738,-18.873253150210434,-23.64481890737775,-22.330199479586454,-25.369133644941392,-19.713272699244648,-23.41396184984848,-10.82059088231429,-22.615099165850072,-21.041886006916165,-25.61176643719938,-30.55828925441616,-30.628638788334733,-31.52242346964989,-14.699317997952821,-15.068622622814692
evers24_wsa,32,-31.17214848797111,-27.06634498370547,-30.650205720290014,-29.121187692649915,-31.09089445167223,-28.543055823414736,-25.02810687320776,-13.345892736494818,-23.837986496607105,-27.20033583174029,-29.042176246313332,-30.108249853231587,-28.128756766733016,-28.690452297845653,-13.791426769607252,-13.13715516217081
evers24_wsa,33,-32.7569148257985,-26.82078622335094,-31.251167132408685,-29.003983030387452,-31.920447809153345,-27.94013706867148,-30.220870215361472,-19.85278772014344,-30.752911453219845,-29.86269428666446,-33.97904443967018,-35.76983347699162,-36.46522762887587,-32.97428548489193,-23.782527118525078,-21.78398971632294
evers24_wsa,34,-22.35289806309546,-16.409390823998777,-21.318688080733494,-16.60549609844863,-21.161812801744272,-17.49539116661907,-21.016851780926853,-8.470444850700787,-18.45176683002322,-21.248177311169442,-20.874716336093833,-18.796777081468218,-22.115737680840127,-21.277484714032596,-6.806101458073171,-5.228970824409856
evers24_wsa,35,-33.54482942624175,-28.13128386898878,-33.24666438590489,-26.821876291500207,-31.637045265204105,-28.641190176300974,-25.926308429765115,-9.753755610421571,-25.973914279097055,-26.376650988729217,-21.46967539499936,-23.60165276755713,-25.66518847776026,-24.15851891291836,-6.847055316460415,-3.174846387371777
evers24_wsa,36,-37.59293394836683,-33.77341659232828,-38.0438665428306,-32.96845278684995,-37.11086145036784,-35.09502580947912,-28.13051823416507,-13.5081738591462,-27.178787287970362,-33.15719947159842,-30.060086416419118,-23.06653727690815,-20.56837119550916,-24.98588205263633,-4.752537989354666,-3.0269886312342176
evers24_wsa,37,-26.420239904909163,-26.06528577848593,-28.352679673993574,-26.393652630273976,-28.875125544024105,-26.08724171859626,-18.306509830566053,-8.06541614800189,-20.091695946524986,-24.474568758541714,-22.673559822747414,-21.052170868347336,-21.306677473096485,-18.731404442129268,-7.383277783634884,-8.316126823099307
evers24_wsa,38,-31.395079203336547,-28.057578048230482,-31.481656461002554,-29.30191601553532,-31.054699635142736,-28.657254430759988,-27.28189789789933,-15.565814933960914,-27.584854212136424,-28.647507669762245,-29.113965107214153,-31.965568322806075,-26.78118485858007,-29.7328639136426,-16.211131523721516,-17.66373974434567
evers24_wsa,39,-35.91599331868593,-30.976650039760003,-35.07578772202727,-32.696235774730084,-35.31631520532742,-31.671475741440343,-26.150921877969967,-14.520958083832342,-26.46369123130743,-30.94486602645894,-28.492909004546384,-27.960126428397768,-27.057600332709498,-30.358514515950713,-12.748825351374588,-14.694846218954256
evers24_wsa,4,-31.92728069119419,-25.02900919589462,-30.128431723982292,-26.369052847515924,-30.16867121657578,-27.695577761828517,-24.834185707105565,-13.675256425655569,-24.18260180364869,-29.48366842145589,-31.344284087761835,-28.11374292323956,-26.54205187988231,-28.64254208961643,-12.962010921540546,-10.113756286322111
evers24_wsa,40,10.650864831857689,13.967512154675315,8.486290505325178,9.45415762008152,8.217286223961334,7.751006429129364,15.308662944841672,21.63059813638159,10.51231098706405,4.93302886903213,12.787723956211606,9.66820645540683,7.347576471353334,4.383408832416208,20.964232337849758,15.543624360093544
evers24_wsa,41,-20.241644981360828,-8.458600796294785,-14.873005535656137,-12.899393740783221,-14.706852477941778,-14.090851009455656,-1.1153160567762055,7.588419362365395,-5.723862654495504,-12.267713730707552,-4.384799555934832,-5.345861845758037,-3.8108230726109973,-10.99304129342888,12.77737469343257,5.185323893075711
evers24_wsa,42,18.147330569185296,21.80958511440784,16.75613650003651,16.777983883064323,15.588011361811782,16.09381092975322,20.866308648954217,26.57231031180164,17.565049100422907,13.161230071376162,16.953027806731452,12.878203305852248,11.329560943372845,11.493253688446625,22.05494520295271,16.864988262870757
evers24_wsa,43,11.665371731941754,15.288387313890428,9.765705810467457,10.38151603866681,9.090771741427428,9.527662537938475,13.742831308790265,20.620594810754056,11.05716265650402,6.666898174615538,7.711946308862149,4.365118691650199,4.962344973989852,6.482402852039798,14.875443952022211,12.406757174281324
evers24_wsa,44,17.83449303183566,21.665630899047837,16.245656786797387,16.248746904633666,15.765971948411895,14.53405639431342,23.748939397567774,29.253232128456403,21.764827217830213,12.624499815818574,19.708388237541097,18.692022779095378,18.864765667814527,19.50141878191992,27.280747368272323,25.158623838155847
evers24_wsa,45,11.406575337867608,15.431194452583263,9.501351019405552,9.814034217703943,9.192367096806331,11.201809251210287,19.525579998622227,27.2603050919386,18.160597226665843,12.805061517553135,18.01945601072675,14.0633341138229,13.81668850162449,10.81662897447781,27.420336563721083,25.426206840978587
evers24_wsa,46,11.304293949031578,14.120796353902342,9.55639428059416,9.93943261556044,8.53928713047179,8.982323374936469,11.5383550975117,19.513978590549286,9.849803520028516,7.3919122892249165,10.170730456617589,3.911683125797377,5.866450734626949,1.8078549779508846,13.795033667550832,9.715567610752874
evers24_wsa,47,46.037720944031356,49.42952440173607,45.24505302920322,44.86123387645192,44.985192947554644,43.93716878320039,42.728011077501506,47.1385755079934,39.63772400159248,37.981743422931025,36.82662201136108,32.039350393764195,28.740291064608662,27.982892895373528,35.79193090319629,31.500481920358787
evers24_wsa,48,38.42573646861068,42.14463280110907,38.11961814112025,37.422635439481454,35.85753880185257,36.34085213032582,34.37335502257949,39.20509343231682,31.25447787171068,28.40386910482059,28.48412597441507,21.020044130234854,18.238402196268577,18.191769223229077,27.950038560545003,23.07423519700648
