plan,district,perimeter,area,polsby_popper,schwartzberg,reock,convex_hull
evers24_wsa,70,408907.200177744,4672522572.51999,0.35116543052298677,0.5925921282998845,0.27636173103454204,0.7027468618623334
evers24_wsa,71,185643.533432981,1147456367.53032,0.4183949099890572,0.6468345306096893,0.4503731346389968,0.8228474542574188
evers24_wsa,72,234667.287824784,2895295064.80236,0.6606897757508394,0.8128282572295575,0.6384539762760446,0.9364343866364351
evers24_wsa,73,855513.931638836,4064829803.20305,0.06979078089971134,0.26417944829170825,0.15691689635403466,0.563262565744097
evers24_wsa,74,676041.1705812,14216759280.6268,0.39089866195810596,0.6252188912357864,0.32381503426344377,0.8015752710510264
evers24_wsa,75,303870.190759532,4312221435.19481,0.5868602861939438,0.7660680689037651,0.5645875267073757,0.8745776473982361
evers24_wsa,76,36417.0538897052,26794079.7468497,0.2538861980233751,0.5038712117430159,0.3301702466398038,0.5761425778094202
evers24_wsa,77,44365.2329922731,50657873.5645509,0.3234232868941632,0.568703162373978,0.4735263045165983,0.7449309266476066
evers24_wsa,78,54355.3027354928,96791008.3294576,0.4116812052982533,0.6416238814899686,0.4604573990187656,0.8790680984068441
evers24_wsa,79,40945.982042079,38040946.1706932,0.28512716184082565,0.5339729972955801,0.5530711520573061,0.7805646095957598
evers24_wsa,8,21764.048016525,13508400.2512261,0.3583722995819289,0.5986420462863672,0.5891273691418335,0.8124894685969503
evers24_wsa,80,93658.8769295258,240518420.792064,0.34455639593523596,0.5869892639011688,0.39598171555156697,0.7896672058828547
evers24_wsa,81,143500.47836187,619954021.873936,0.37832291579331817,0.6150796011845282,0.36794271063395134,0.8277616992895892
evers24_wsa,82,57415.7686736679,77072118.4564303,0.2937952659570372,0.5420288423663793,0.530571693442183,0.8527092963599202
evers24_wsa,83,67807.3168115675,143093793.704001,0.3910907490584098,0.6253724882487315,0.45798487478243005,0.8630796682466042
evers24_wsa,84,119513.649690116,405433043.043774,0.3566925076489447,0.5972373963918743,0.40456058189113286,0.8311179714501319
evers24_wsa,85,108351.954946015,222776110.868614,0.23845420147827548,0.48831772595132716,0.3464355377082773,0.7180111078442315
evers24_wsa,86,284559.599778387,2631777422.92237,0.40842520739265276,0.6390815342291255,0.5283823788394031,0.8613820890037611
evers24_wsa,87,304575.737273585,2927398370.37344,0.39655285635565163,0.6297244289017631,0.38612689753158785,0.8393981647039558
evers24_wsa,88,99741.5994876016,112235513.500723,0.14177103341094904,0.3765249439425614,0.20392222818443842,0.5651402404674987
evers24_wsa,89,53322.4521634427,66096408.2966329,0.29212417428801135,0.5404851286464887,0.48697274747207464,0.7906531285884572
evers24_wsa,9,34979.4567773167,22387087.927011,0.22992243361390652,0.4795022769642565,0.43291615600892586,0.6674226499843503
evers24_wsa,90,62314.584972339,74959291.8631416,0.2425805215218688,0.4925246405225517,0.34291273450031173,0.6230589268207384
evers24_wsa,91,182801.730007845,1296294890.52979,0.4874758107065314,0.6981946796607171,0.4394759046133376,0.846235844649774
