BLOCKID,DISTRICT
550619604023016,1
550619604023020,1
550619604023021,1
550619604023022,1
550619604023023,1
550619604023024,1
550619604023030,1
550619604023036,1
550619604023044,1
550619604023045,1
550619604023047,1
550619604023048,1
550291006002015,1
550291006002016,1
550291006002017,1
550291006002018,1
550291006002023,1
550291006002024,1
550291006002025,1
550291006002026,1
550291006002027,1
550291006002028,1
550291006002029,1
550291006002030,1
550291006002031,1
550291006002033,1
550291006002034,1
550291006002035,1
550291006002037,1
550291006002038,1
550291006002039,1
550291006002040,1
550291006002041,1
550291006002042,1
550291006002043,1
550291006002044,1
550291006002045,1
550291006002046,1
550291006002047,1
550291006002048,1
550291006002049,1
550291006002050,1
550291006002051,1
550291006002052,1
550291006002053,1
550291006002054,1
550291006002055,1
550291006002056,1
550291006002057,1
550291006002058,1
550291006002059,1
550291006002060,1
550291006002061,1
550291006002063,1
550090206001000,1
550090206001001,1
550090206001002,1
550090206001003,1
550090206001004,1
550090206001005,1
550090206001006,1
550090206001007,1
550090206001008,1
550090206001009,1
550090206001010,1
550090206001011,1
550090206001012,1
550090206001013,1
550090206001014,1
550090206001015,1
550090206001016,1
550090206001017,1
550090206001018,1
550090206001019,1
550090206001020,1
550090206001021,1
550090206001022,1
550090206001023,1
550090206001024,1
550090206001025,1
550090206001026,1
550090206001027,1
550090206001028,1
550090206001029,1
550090206001030,1
550090206001031,1
550090206001032,1
550090206001033,1
550090206001034,1
550090206001035,1
550090206001036,1
550090206001037,1
550090206001038,1
550090206001039,1
550090206001040,1
550090206001041,1
550090206001042,1
550090206001043,1
550090206001044,1
550090206001045,1
550090206001046,1
550090206001047,1
550090206001048,1
550090206001049,1
550090206001050,1
550291004001065,1
550291004002006,1
550291004002010,1
550291004002012,1
550291004002014,1
550291004002015,1
550291004002016,1
550291004002017,1
550291004002018,1
550291004002019,1
550291004002021,1
550291004002022,1
550291004002023,1
550291004002024,1
550291004002025,1
550291004002026,1
550291004002027,1
550291004002028,1
550291004002029,1
550291004002030,1
550291004002031,1
550291004002032,1
550291004002033,1
550291004002035,1
550291004002036,1
550291004002038,1
550291004002039,1
550291004002044,1
550291004002045,1
550291004002046,1
550291004002047,1
550291004002048,1
550291004002049,1
550291004002050,1
550291004002051,1
550291004002052,1
550291004002053,1
550291004002054,1
550291004002055,1
550291004002056,1
550291004002057,1
550291004002058,1
550291004002059,1
550291004002060,1
550291004002061,1
550291004002062,1
550291004002063,1
550291004002064,1
550291004002065,1
550291004002066,1
550291004002067,1
550291004002068,1
550291004002069,1
550291004002070,1
550291004002071,1
550291004002076,1
550291004002077,1
550291004002078,1
550291004002079,1
550291004002085,1
550291004002147,1
550291004002148,1
550291004002149,1
550291004002150,1
550291003001116,1
550291003001117,1
550291004001049,1
550291004001050,1
550291004001053,1
550291004001054,1
550291004001055,1
550291004001056,1
550291004001057,1
550291004001058,1
550291004001059,1
550291004001060,1
550291004001061,1
550291004001062,1
550291004001063,1
550291004001064,1
550291004001066,1
550291004001067,1
550291004001068,1
550291004001069,1
550291004001070,1
550291004001081,1
550291004001082,1
550291004001083,1
550291004002005,1
550291004002008,1
550291004002009,1
550291004002011,1
550291004002013,1
550291004002034,1
550291004002037,1
550291004002040,1
550291004002041,1
550291004002042,1
550291004002043,1
550291004002072,1
550291004002073,1
550291004002074,1
550291004002075,1
550291004002080,1
550291004002081,1
550291004002082,1
550291004002083,1
550291004002084,1
550291004002086,1
550291004002087,1
550291004002088,1
550291004002089,1
550291004002090,1
550291004002091,1
550291004002092,1
550291004002093,1
550291004002094,1
550291004002095,1
550291004002096,1
550291004002097,1
550291004002099,1
550291004002100,1
550291004002101,1
550291004002102,1
550291004002103,1
550291004002104,1
550291004002105,1
550291004002106,1
550291004002107,1
550291004002108,1
550291004002109,1
550291004002110,1
550291004002111,1
550291004002112,1
550291004002113,1
550291004002114,1
550291004002115,1
550291004002116,1
550291004002117,1
550291004002118,1
550291004002119,1
550291004002120,1
550291004002121,1
550291004002122,1
550291004002123,1
550291004002124,1
550291004002125,1
550291004002126,1
550291004002127,1
550291004002128,1
550291004002131,1
550291004002132,1
550291004002133,1
550291004002134,1
550291004002135,1
550291004002136,1
550291004002137,1
550291004002138,1
550291004002139,1
550291004002140,1
550291004002141,1
550291004002142,1
550291004002143,1
550291004002144,1
550291004002145,1
550291004002146,1
550291005001011,1
550291005001012,1
550291005004015,1
550291003001029,1
550291003001036,1
550291003001037,1
550291003001038,1
550291003001039,1
550291003001040,1
550291003001041,1
550291003001042,1
550291003001043,1
550291003001044,1
550291003001045,1
550291003001046,1
550291003001047,1
550291003001048,1
550291003001049,1
550291003001050,1
550291003001051,1
550291003001052,1
550291003001053,1
550291003001054,1
550291003001055,1
550291003001056,1
550291003001057,1
550291003001058,1
550291003001060,1
550291003001069,1
550291003001070,1
550291003001071,1
550291003002045,1
550291003002053,1
550291006001083,1
550291006003042,1
550291006003043,1
550291006003044,1
550291006003045,1
550291006003046,1
550291006003047,1
550291006003048,1
550291006003049,1
550291006003050,1
550291006003051,1
550291006003052,1
550291006003053,1
550291006003055,1
550291006003056,1
550291006003060,1
550291006003061,1
550291006003062,1
550291006001057,1
550291006001058,1
550291006001059,1
