GEOID20,District
550019502041022,40
550019502041023,40
550019502041024,40
550019502041025,40
550019502041026,40
550019502041028,40
550019502041029,40
550019502041030,40
550019502041031,40
550019502041032,40
550019502041033,40
550019502041034,40
550019502041102,40
550019502041103,40
550019502041104,40
550019502041105,40
550019502041106,40
550019502041107,40
550019502041108,40
550019502041109,40
550019502041110,40
550019502041111,40
550019502041112,40
550019502041113,40
550019502041114,40
550019502041117,40
550019502041118,40
550019502041119,40
550019502041120,40
550019502041127,40
550019502041128,40
550019504001005,40
550019504001006,40
550019504001063,40
550019504001000,40
550019504001001,40
550019504001002,40
550019504001003,40
550019504001004,40
550019504001007,40
550019504001008,40
550019504001009,40
550019504001021,40
550019504001022,40
550019504001023,40
550019504001024,40
550019504001025,40
550019504001026,40
550019504001027,40
550019504001028,40
550019504001029,40
550019504001030,40
550019504001031,40
550019504001032,40
550019504001033,40
550019504001034,40
550019504001035,40
550019504001036,40
550019504001037,40
550019504001038,40
550019504001039,40
550019504001040,40
550019504001041,40
550019504001042,40
550019504001043,40
550019504001044,40
550019504001045,40
550019504001051,40
550019504001052,40
550019504001053,40
550019504001054,40
550019504001055,40
550019504001056,40
550019504001057,40
550019504001058,40
550019504002070,40
550019504001061,40
550019505021001,40
550019505021002,40
550019505021003,40
550019505021013,40
550019505021014,40
550019505021017,40
550019505021018,40
550019505021019,40
550019505021020,40
550019505021021,40
550019505021022,40
550019505021023,40
550019505021024,40
550019505021025,40
550019505021026,40
550019505021027,40
550019505021028,40
550019505021029,40
550019505021030,40
550019505021031,40
550019505021061,40
550019504001059,40
550019504001060,40
550019504001062,40
550019505021000,40
550019505021004,40
550019505021005,40
550019505021006,40
550019505021007,40
550019505021008,40
550019505021009,40
550019505021012,40
550019505021015,40
550019505021016,40
550019505021032,40
550019505021033,40
550019505021034,40
550019505021035,40
550019505021036,40
550019505021037,40
550019505021038,40
550019505021040,40
550019505021041,40
550019505021042,40
550019505021043,40
550019505021044,40
550019505021045,40
550019505021046,40
550019505021047,40
550019505021048,40
550019505021049,40
550019505021050,40
550019505021051,40
550019505021052,40
550019505021053,40
550019505021054,40
550019505021055,40
550019505021059,40
550019505021060,40
550019507001000,40
550019507001001,40
550019507001002,40
550019507001003,40
550019505021039,40
550019505021056,40
550019505021057,40
550019505021058,40
550019505022008,40
550019505022009,40
550019505022010,40
550019505022011,40
550019505022012,40
550019505022013,40
550019505022018,40
550019505022019,40
550019505022020,40
550019505022021,40
550019505022022,40
550019505022023,40
550019505022024,40
550019505022025,40
550019505022063,40
550019505022064,40
550019505022065,40
550019505022066,40
550019505022067,40
