GEOID20,District
550019501003020,42
550019501003021,42
550019501003023,42
550019501003024,42
550019501003025,42
550019501004044,42
550019501002026,42
550019501002027,42
550019501002028,42
550019501002029,42
550019501002030,42
550019501002031,42
550019501002032,42
550019501002033,42
550019501002034,42
550019501002035,42
550019501002036,42
550019501002037,42
550019501002038,42
550019501002039,42
550019501004001,42
550019501004002,42
550019501004003,42
550019501004006,42
550019501004007,42
550019501004008,42
550019501004009,42
550019501004010,42
550019501004011,42
550019501004012,42
550019501004013,42
550019501004014,42
550019501004015,42
550019501004016,42
550019501004017,42
550019501004018,42
550019501004019,42
550019501004020,42
550019501004021,42
550019501004022,42
550019501004023,42
550019501004024,42
550019501004025,42
550019501004026,42
550019501004027,42
550019501004028,42
550019501004029,42
550019501004030,42
550019501004036,42
550019501004037,42
550019501004038,42
550019501004039,42
550019501004040,42
550019501004041,42
550019501004042,42
550019501004043,42
550019501004045,42
550019501004046,42
550019501004047,42
550019501004048,42
550019501004050,42
550019501004051,42
550019501004052,42
550019502042004,42
550019502042005,42
550019502042006,42
550019502042007,42
550019502042008,42
550019502042009,42
550019502042010,42
550019502042011,42
550019502042012,42
550019502042013,42
550019502011000,42
550019502011001,42
550019502011017,42
550019502011018,42
550019502011019,42
550019502011022,42
550019502011023,42
550019502011024,42
550019502011025,42
550019502011026,42
550019502011027,42
550019502011028,42
550019502011052,42
550019502011053,42
550019502011054,42
550019502012010,42
550019502012011,42
550019502012012,42
550019502012013,42
550019502012021,42
550019502012022,42
550019502012023,42
550019502012024,42
550019502012033,42
550019502012034,42
550019502012035,42
550019502032069,42
550019502032070,42
550019502041050,42
550019502041051,42
550019502041052,42
550019502041053,42
550019502041054,42
550019502041055,42
550019502041056,42
550019502041057,42
550019502041058,42
550019502041059,42
550019502041063,42
550019502041065,42
550019502041066,42
550019502041067,42
550019502041068,42
550019502041084,42
550019502041085,42
550019502041086,42
550019502041087,42
550019502041088,42
550019502041089,42
550019502041090,42
550019502041097,42
550019504004008,42
550019504004011,42
550019504004037,42
550019504004038,42
550019504004100,42
550019504004101,42
550019504004102,42
550019502011002,42
550019502011003,42
550019502011004,42
550019502011005,42
550019502011006,42
550019502011007,42
550019502011008,42
550019502011009,42
550019502011010,42
550019502011011,42
550019502011012,42
550019502011013,42
550019502011014,42
550019502011015,42
550019502011016,42
550019502011020,42
550019502011021,42
550019502011029,42
550019502011030,42
550019502011031,42
550019502011032,42
550019502011033,42
550019502011034,42
550019502011035,42
550019502011036,42
550019502011037,42
550019502011038,42
550019502011039,42
550019502011040,42
550019502011041,42
550019502011042,42
550019502011043,42
550019502011044,42
550019502011057,42
550019502011058,42
550019502011074,42
550019502041060,42
550019502041061,42
550019502041062,42
550019502041069,42
550019502041070,42
