GEOID20,District
551351002003062,40
551351002003063,40
551351002003064,40
551351002003065,40
551351002003066,40
551351002003067,40
551351002003068,40
551351002003069,40
551351002003070,40
551351002003071,40
551351002003072,40
551351002003073,40
551351002003074,40
551351002003081,40
551351002003082,40
551351002003084,40
551351002003087,40
551351002003088,40
551351002003089,40
551351002003091,40
551351002003092,40
551351002003093,40
551351002003094,40
551351002003095,40
551351002003096,40
551351002003097,40
551351002003099,40
551351002003108,40
551351002003109,40
551351002003110,40
551351002003111,40
551351002003112,40
551351002003113,40
551351002003114,40
551351002003115,40
551351002003116,40
551351002003117,40
551351002003118,40
551351002003120,40
551351002003131,40
551351011001006,6
551351011001007,6
551351011001010,6
551351011002008,6
551351011002013,6
551351011002014,6
551351011002015,6
551351011002017,6
551351011002018,6
551351011002019,6
551351011002020,6
551351011002023,6
551351011002024,6
551351011002025,6
551351011002026,6
551351011002029,6
551351011004013,6
551351011004014,6
551351011004015,6
551351011005008,6
551351011005009,6
551351011005010,6
551351011005011,6
551351011005012,6
551351011005013,6
551351011005014,6
551351011005015,6
551351011005016,6
551351011005017,6
551351011005018,6
551351011005019,6
551351011005020,6
551351011005021,6
551351011005022,6
551351011005023,6
551351011005024,6
551351011005025,6
551351011005026,6
551351011005027,6
551351011005028,6
551351011005029,6
551351005002070,40
551351006003000,40
551351006003001,40
551351006003002,40
551351006003003,40
551351006003004,40
551351006003005,40
551351006003006,40
551351006003015,40
551351006003016,40
551351006003017,40
551351006003018,40
551351006003022,40
551351006003023,40
551351006003024,40
551351006003025,40
551351006003026,40
551351006003027,40
551351006003028,40
551351006003029,40
551351006003030,40
551351006003032,40
551351006003033,40
551351006003034,40
551351006003035,40
551351006003036,40
551351006003037,40
551351006003038,40
551351006003039,40
551351006003040,40
551351006003041,40
551351006003042,40
551351006003043,40
551351006003044,40
551351006003048,40
551351006003049,40
551351006003053,40
551351006003054,40
551351006003055,40
551351006003056,40
551351006003057,40
551351006003058,40
551351006003059,40
551351006003060,40
551351006003061,40
551351006003062,40
551351006003064,40
551351006003065,40
551351006003066,40
551351006003067,40
551351006003068,40
551351006003069,40
551351006003070,40
551351006003071,40
551351006003072,40
551351006003073,40
551351002001042,40
551351002001043,40
551351002001044,40
551351002002067,40
551351002002073,40
551351002002074,40
551351002002076,40
551351002002077,40
551351002002084,40
551351002002085,40
551351002002086,40
551351002002089,40
551351002002090,40
551351002002092,40
551351002002093,40
551351002002094,40
551351002002095,40
551351002002096,40
551351002002097,40
551351002002098,40
551351002002099,40
551351002002104,40
551351004002006,40
551351004002007,40
551351004002008,40
551351004002009,40
551351004002010,40
551351004002011,40
551351004002012,40
551351004002013,40
551351004002014,40
551351004002015,40
551351004002016,40
551351004002017,40
551351004002022,40
551351003003112,40
551351003003113,40
551351005001000,40
551351005001001,40
551351005001003,40
551351005001006,40
551351005001007,40
551351005001010,40
551351005001011,40
551351005001012,40
551351005001028,40
551351005001030,40
551351005001031,40
551351005001032,40
551351005001033,40
551351005001034,40
551351005002000,40
551351005002001,40
551351005002002,40
551351005002003,40
551351005002009,40
551351006004004,40
551351006004005,40
551351006004006,40
551351006004013,40
551351006004014,40
551351007002017,40
551351007002018,40
551351007002019,40
551351007002020,40
551351007002024,40
551351007002025,40
551351007002028,40
551351007002029,40
551351007002033,40
551351007002038,40
551351007002039,40
551351007002041,40
551351007002043,40
551351007002046,40
551351007002050,40
551351007002051,40
551351007002052,40
551351007002053,40
551351007002054,40
551351007002055,40
551351007002058,40
551351007002059,40
551351007002060,40
551351007002061,40
551351007002066,40
551351007002071,40
551351007002073,40
551351007002074,40
551351007002077,40
551351007002082,40
551351007002083,40
551351007002084,40
551351007002088,40
551351007002091,40
551351007002095,40
551351007002096,40
551351007002098,40
551351007002101,40
551351010002043,40
551351010002044,40
551351010002045,40
551351010002046,40
551351010002047,40
551351010002048,40
551351010002049,40
551351010003028,40
551351010004004,40
551351010004017,40
551351010004030,40
551351010004031,40
551351010004032,40
551351010004033,40
551351010004050,40
551351010004051,40
551351010004063,40
551351010004066,40
551351012003057,40
551351012003058,40
551351012003059,40
550999701001012,74
550999702001008,74
550999702001014,74
550999702001015,74
550999702001016,74
550999702001017,74
550999702001018,74
550999702001019,74
550999702001020,74
550999702001021,74
550999702001025,74
550999702001049,74
550999702001050,74
550999702001053,74
550999702001055,74
550999702001056,74
550999702001057,74
550999702001058,74
550999702001059,74
550999702001060,74
550999702001064,74
550999702001065,74
551351006004002,40
551351006004003,40
551351006004008,40
551351006004010,40
551351006004011,40
551351006004022,40
551351006004023,40
551351007002026,40
551351007002027,40
551351007002030,40
551351007002031,40
551351007002032,40
551351007002034,40
551351007002035,40
551351007002036,40
551351007002037,40
551351007002040,40
551351007002042,40
551351007002047,40
551351007002048,40
551351007002049,40
551351007002062,40
551351007002063,40
551351007002064,40
551351007002065,40
551351007002067,40
551351007002068,40
551351007002069,40
551351007002070,40
551351007002076,40
551351007002079,40
551351007002080,40
551351007002081,40
551351007002085,40
551351007002086,40
551351007002087,40
551351007002090,40
551351007002092,40
551351010001034,40
551351010001035,40
551351010003010,40
551351010003011,40
551351010004002,40
551351010004003,40
551351010004007,40
551351010004008,40
551351010004009,40
551351010004015,40
551351010004016,40
551351010004018,40
551351010004019,40
551351010004020,40
551351010004022,40
551351010004023,40
551351010004024,40
551351010004025,40
551351010004046,40
551351010004047,40
551351010004048,40
551351010004049,40
550999701002000,74
550999701002001,74
550999701002002,74
550999701002003,74
550999701002004,74
550999701002005,74
550999701002006,74
550999701002092,74
550999701002093,74
550999701002094,74
550999701002095,74
550999701002096,74
550999701002097,74
550999701002102,74
550999701002103,74
550999701002104,74
550999701002105,74
550999701002106,74
550999701002107,74
550999701002108,74
550999701002109,74
550999701002110,74
550999701002111,74
550999701002112,74
550999701002113,74
550999701002114,74
550999701002115,74
550999701002116,74
550999701002117,74
550999701002118,74
550999701002119,74
550999701002120,74
550999701002121,74
550999701002122,74
550999701002125,74
550999701002126,74
550999701002127,74
550999701002128,74
550999701002129,74
550999701002130,74
550999701002131,74
550999701002132,74
550999701002138,74
550999701002139,74
550999701002140,74
550999701002147,74
550999701003000,74
550999701003001,74
550999701003002,74
550999701003003,74
550999701003004,74
550999701003005,74
550999701003006,74
550999701003011,74
550999701003012,74
550999701003108,74
550999706001072,74
550999706001073,74
550999706001074,74
550999706001078,74
550999706001079,74
550999706001080,74
550999706001081,74
550999706001082,74
550999706001084,74
550999706001085,74
550999706001086,74
550999706003000,74
550999706003001,74
550999706003002,74
550999706003003,74
550999706003004,74
550999706003044,74
550999706003045,74
550999706003046,74
550999706003047,74
550999706003048,74
550999706003049,74
550999706003050,74
550999706003051,74
550999706003052,74
550999706003053,74
550999706003054,74
550999706003055,74
550999706003056,74
550999706003057,74
550999706003058,74
550999706003059,74
550999706003060,74
550999706003061,74
550999706003062,74
550999706003081,74
550999706003082,74
550999706003083,74
550999706003084,74
