plan,district,race,votes
legis_wsa,51,USSREP22,13478
legis_wsa,51,USSTOT22,26451
legis_wsa,51,WAGDEM22,13054
legis_wsa,51,WAGREP22,13205
legis_wsa,51,WAGTOT22,26265
legis_wsa,51,WSTDEM22,12452
legis_wsa,51,WSTREP22,12865
legis_wsa,51,WSTTOT22,25959
legis_wsa,52,GOVDEM22,9904
legis_wsa,52,GOVREP22,14513
legis_wsa,52,GOVTOT22,24684
legis_wsa,52,USSDEM22,9566
legis_wsa,52,USSREP22,15027
legis_wsa,52,USSTOT22,24617
legis_wsa,52,WAGDEM22,9610
legis_wsa,52,WAGREP22,14863
legis_wsa,52,WAGTOT22,24473
legis_wsa,52,WSTDEM22,9011
legis_wsa,52,WSTREP22,14388
legis_wsa,52,WSTTOT22,23996
legis_wsa,53,GOVDEM22,9944
legis_wsa,53,GOVREP22,16468
legis_wsa,53,GOVTOT22,26666
legis_wsa,53,USSDEM22,9354
legis_wsa,53,USSREP22,17162
legis_wsa,53,USSTOT22,26569
legis_wsa,53,WAGDEM22,9821
legis_wsa,53,WAGREP22,16538
legis_wsa,53,WAGTOT22,26366
legis_wsa,53,WSTDEM22,8847
legis_wsa,53,WSTREP22,16457
legis_wsa,53,WSTTOT22,26007
legis_wsa,54,GOVDEM22,12848
legis_wsa,54,GOVREP22,9605
legis_wsa,54,GOVTOT22,22744
legis_wsa,54,USSDEM22,12381
legis_wsa,54,USSREP22,10237
legis_wsa,54,USSTOT22,22666
legis_wsa,54,WAGDEM22,12684
legis_wsa,54,WAGREP22,9792
legis_wsa,54,WAGTOT22,22501
legis_wsa,54,WSTDEM22,11769
legis_wsa,54,WSTREP22,9761
legis_wsa,54,WSTTOT22,22208
legis_wsa,55,GOVDEM22,13457
legis_wsa,55,GOVREP22,14370
legis_wsa,55,GOVTOT22,28179
legis_wsa,55,USSDEM22,12860
legis_wsa,55,USSREP22,15132
legis_wsa,55,USSTOT22,28061
legis_wsa,55,WAGDEM22,13296
legis_wsa,55,WAGREP22,14554
legis_wsa,55,WAGTOT22,27867
legis_wsa,55,WSTDEM22,12118
legis_wsa,55,WSTREP22,14700
legis_wsa,55,WSTTOT22,27601
legis_wsa,56,GOVDEM22,12977
legis_wsa,56,GOVREP22,15910
legis_wsa,56,GOVTOT22,29162
legis_wsa,56,USSDEM22,12290
legis_wsa,56,USSREP22,16744
legis_wsa,56,USSTOT22,29034
legis_wsa,56,WAGDEM22,12763
legis_wsa,56,WAGREP22,16131
legis_wsa,56,WAGTOT22,28894
legis_wsa,56,WSTDEM22,11532
legis_wsa,56,WSTREP22,16363
legis_wsa,56,WSTTOT22,28618
legis_wsa,57,GOVDEM22,13878
legis_wsa,57,GOVREP22,9069
legis_wsa,57,GOVTOT22,23297
legis_wsa,57,USSDEM22,13501
legis_wsa,57,USSREP22,9654
legis_wsa,57,USSTOT22,23179
legis_wsa,57,WAGDEM22,13732
legis_wsa,57,WAGREP22,9286
legis_wsa,57,WAGTOT22,23027
legis_wsa,57,WSTDEM22,12789
legis_wsa,57,WSTREP22,9216
legis_wsa,57,WSTTOT22,22799
legis_wsa,58,GOVDEM22,9886
legis_wsa,58,GOVREP22,20566
legis_wsa,58,GOVTOT22,30721
legis_wsa,58,USSDEM22,9430
legis_wsa,58,USSREP22,21296
legis_wsa,58,USSTOT22,30726
legis_wsa,58,WAGDEM22,9675
legis_wsa,58,WAGREP22,20861
legis_wsa,58,WAGTOT22,30536
legis_wsa,58,WSTDEM22,8915
legis_wsa,58,WSTREP22,20685
legis_wsa,58,WSTTOT22,30185
legis_wsa,59,GOVDEM22,8474
legis_wsa,59,GOVREP22,22492
legis_wsa,59,GOVTOT22,31209
legis_wsa,59,USSDEM22,8022
legis_wsa,59,USSREP22,23058
legis_wsa,59,USSTOT22,31097
legis_wsa,59,WAGDEM22,8436
legis_wsa,59,WAGREP22,22404
legis_wsa,59,WAGTOT22,30848
legis_wsa,59,WSTDEM22,7624
legis_wsa,59,WSTREP22,22216
legis_wsa,59,WSTTOT22,30476
legis_wsa,6,GOVDEM22,8517
legis_wsa,6,GOVREP22,18136
legis_wsa,6,GOVTOT22,26972
legis_wsa,6,USSDEM22,8040
legis_wsa,6,USSREP22,18837
legis_wsa,6,USSTOT22,26883
legis_wsa,6,WAGDEM22,8608
legis_wsa,6,WAGREP22,18163
legis_wsa,6,WAGTOT22,26772
legis_wsa,6,WSTDEM22,7647
legis_wsa,6,WSTREP22,18234
legis_wsa,6,WSTTOT22,26535
legis_wsa,60,GOVDEM22,12335
legis_wsa,60,GOVREP22,21012
legis_wsa,60,GOVTOT22,33641
legis_wsa,60,USSDEM22,11719
legis_wsa,60,USSREP22,21800
legis_wsa,60,USSTOT22,33590
legis_wsa,60,WAGDEM22,11980
legis_wsa,60,WAGREP22,21401
legis_wsa,60,WAGTOT22,33403
legis_wsa,60,WSTDEM22,11070
legis_wsa,60,WSTREP22,21394
legis_wsa,60,WSTTOT22,33064
legis_wsa,61,GOVDEM22,10811
legis_wsa,61,GOVREP22,16818
legis_wsa,61,GOVTOT22,27956
legis_wsa,61,USSDEM22,10390
legis_wsa,61,USSREP22,17409
legis_wsa,61,USSTOT22,27857
legis_wsa,61,WAGDEM22,10603
legis_wsa,61,WAGREP22,17050
legis_wsa,61,WAGTOT22,27666
legis_wsa,61,WSTDEM22,9946
legis_wsa,61,WSTREP22,16966
legis_wsa,61,WSTTOT22,27519
legis_wsa,62,GOVDEM22,12479
legis_wsa,62,GOVREP22,17378
legis_wsa,62,GOVTOT22,30151
legis_wsa,62,USSDEM22,12102
legis_wsa,62,USSREP22,18030
legis_wsa,62,USSTOT22,30195
legis_wsa,62,WAGDEM22,12320
legis_wsa,62,WAGREP22,17618
legis_wsa,62,WAGTOT22,29959
legis_wsa,62,WSTDEM22,11521
legis_wsa,62,WSTREP22,17619
legis_wsa,62,WSTTOT22,29717
legis_wsa,63,GOVDEM22,11159
legis_wsa,63,GOVREP22,15902
legis_wsa,63,GOVTOT22,27401
legis_wsa,63,USSDEM22,10671
legis_wsa,63,USSREP22,16647
legis_wsa,63,USSTOT22,27408
legis_wsa,63,WAGDEM22,11037
legis_wsa,63,WAGREP22,16173
legis_wsa,63,WAGTOT22,27233
legis_wsa,63,WSTDEM22,10245
legis_wsa,63,WSTREP22,16119
