plan,district,race,votes
evers24_wsa,29,WSTREP22,15050
evers24_wsa,29,WSTTOT22,24905
evers24_wsa,3,GOVDEM22,10866
evers24_wsa,3,GOVREP22,17330
evers24_wsa,3,GOVTOT22,28496
evers24_wsa,3,USSDEM22,10352
evers24_wsa,3,USSREP22,18021
evers24_wsa,3,USSTOT22,28414
evers24_wsa,3,WAGDEM22,10940
evers24_wsa,3,WAGREP22,17272
evers24_wsa,3,WAGTOT22,28222
evers24_wsa,3,WSTDEM22,9814
evers24_wsa,3,WSTREP22,17457
evers24_wsa,3,WSTTOT22,27948
evers24_wsa,30,GOVDEM22,14083
evers24_wsa,30,GOVREP22,14181
evers24_wsa,30,GOVTOT22,28568
evers24_wsa,30,USSDEM22,13722
evers24_wsa,30,USSREP22,14810
evers24_wsa,30,USSTOT22,28566
evers24_wsa,30,WAGDEM22,13678
evers24_wsa,30,WAGREP22,14711
evers24_wsa,30,WAGTOT22,28402
evers24_wsa,30,WSTDEM22,13142
evers24_wsa,30,WSTREP22,14624
evers24_wsa,30,WSTTOT22,28384
evers24_wsa,31,GOVDEM22,10126.770382285036
evers24_wsa,31,GOVREP22,14929.385836926807
evers24_wsa,31,GOVTOT22,25446.67533688129
evers24_wsa,31,USSDEM22,9675.936727431805
evers24_wsa,31,USSREP22,15685.33708262093
evers24_wsa,31,USSTOT22,25415.294482606703
evers24_wsa,31,WAGDEM22,9813.561970901957
evers24_wsa,31,WAGREP22,15460.648978567171
evers24_wsa,31,WAGTOT22,25289.012813466365
evers24_wsa,31,WSTDEM22,9068.099850337123
evers24_wsa,31,WSTREP22,15431.68794435536
evers24_wsa,31,WSTTOT22,25083.978755763048
evers24_wsa,32,GOVDEM22,9608.471064207757
evers24_wsa,32,GOVREP22,16871.183278556484
evers24_wsa,32,GOVTOT22,26832.999500749134
evers24_wsa,32,USSDEM22,9246.03062501825
evers24_wsa,32,USSREP22,17450.656814345875
evers24_wsa,32,USSTOT22,26768.584407563292
evers24_wsa,32,WAGDEM22,9412.862180074178
evers24_wsa,32,WAGREP22,17154.506827223595
evers24_wsa,32,WAGTOT22,26584.23388790348
evers24_wsa,32,WSTDEM22,8795.802042230323
evers24_wsa,32,WSTREP22,17014.958989980205
evers24_wsa,32,WSTTOT22,26435.89736707563
evers24_wsa,33,GOVDEM22,10398.263496219637
evers24_wsa,33,GOVREP22,18156.369128026465
evers24_wsa,33,GOVTOT22,28925.720399100017
evers24_wsa,33,USSDEM22,9890.079919764457
evers24_wsa,33,USSREP22,18928.886632332342
evers24_wsa,33,USSTOT22,28923.101253374607
evers24_wsa,33,WAGDEM22,10191.469279098043
evers24_wsa,33,WAGREP22,18529.20820601227
evers24_wsa,33,WAGTOT22,28746.875621113075
evers24_wsa,33,WSTDEM22,9360.26609592456
evers24_wsa,33,WSTREP22,18439.450782280153
evers24_wsa,33,WSTTOT22,28443.162015264992
evers24_wsa,34,GOVDEM22,13416
evers24_wsa,34,GOVREP22,18763
evers24_wsa,34,GOVTOT22,32585
evers24_wsa,34,USSDEM22,12754
evers24_wsa,34,USSREP22,19683
evers24_wsa,34,USSTOT22,32502
evers24_wsa,34,WAGDEM22,13513
evers24_wsa,34,WAGREP22,18897
evers24_wsa,34,WAGTOT22,32423
evers24_wsa,34,WSTDEM22,12317
evers24_wsa,34,WSTREP22,19111
evers24_wsa,34,WSTTOT22,32105
evers24_wsa,35,GOVDEM22,10325
evers24_wsa,35,GOVREP22,18579
evers24_wsa,35,GOVTOT22,29341
evers24_wsa,35,USSDEM22,9738
evers24_wsa,35,USSREP22,19456
evers24_wsa,35,USSTOT22,29230
evers24_wsa,35,WAGDEM22,10621
evers24_wsa,35,WAGREP22,18409
evers24_wsa,35,WAGTOT22,29036
evers24_wsa,35,WSTDEM22,9471
evers24_wsa,35,WSTREP22,18585
evers24_wsa,35,WSTTOT22,28808
evers24_wsa,36,GOVDEM22,9088
evers24_wsa,36,GOVREP22,18553
evers24_wsa,36,GOVTOT22,28025
evers24_wsa,36,USSDEM22,8644
evers24_wsa,36,USSREP22,19294
evers24_wsa,36,USSTOT22,27994
evers24_wsa,36,WAGDEM22,9331
evers24_wsa,36,WAGREP22,18517
evers24_wsa,36,WAGTOT22,27863
evers24_wsa,36,WSTDEM22,8361
evers24_wsa,36,WSTREP22,18601
evers24_wsa,36,WSTTOT22,27593
evers24_wsa,37,GOVDEM22,8923
evers24_wsa,37,GOVREP22,15303
evers24_wsa,37,GOVTOT22,24477
evers24_wsa,37,USSDEM22,8699
evers24_wsa,37,USSREP22,15587
evers24_wsa,37,USSTOT22,24294
evers24_wsa,37,WAGDEM22,8906
evers24_wsa,37,WAGREP22,15293
evers24_wsa,37,WAGTOT22,24199
evers24_wsa,37,WSTDEM22,8199
evers24_wsa,37,WSTREP22,15099
evers24_wsa,37,WSTTOT22,23896
evers24_wsa,38,GOVDEM22,9282.905882429905
evers24_wsa,38,GOVREP22,16659.112975101725
evers24_wsa,38,GOVTOT22,26289.53603904175
evers24_wsa,38,USSDEM22,8938.525891326817
evers24_wsa,38,USSREP22,17160.984542921065
evers24_wsa,38,USSTOT22,26118.25290000131
evers24_wsa,38,WAGDEM22,9189.478907773024
evers24_wsa,38,WAGREP22,16810.108544962124
evers24_wsa,38,WAGTOT22,26007.274176708404
evers24_wsa,38,WSTDEM22,8529.403434470307
evers24_wsa,38,WSTREP22,16540.215598382856
evers24_wsa,38,WSTTOT22,25795.812736978452
evers24_wsa,39,GOVDEM22,9372
evers24_wsa,39,GOVREP22,17942
evers24_wsa,39,GOVTOT22,27666
evers24_wsa,39,USSDEM22,8958
evers24_wsa,39,USSREP22,18654
evers24_wsa,39,USSTOT22,27643
evers24_wsa,39,WAGDEM22,9220
evers24_wsa,39,WAGREP22,18184
evers24_wsa,39,WAGTOT22,27416
evers24_wsa,39,WSTDEM22,8312
evers24_wsa,39,WSTREP22,17858
evers24_wsa,39,WSTTOT22,27030
evers24_wsa,4,GOVDEM22,11018.512419637638
evers24_wsa,4,GOVREP22,18499.13896672053
evers24_wsa,4,GOVTOT22,29887.825317151994
evers24_wsa,4,USSDEM22,10395.56525681576
evers24_wsa,4,USSREP22,19388.09692474301
evers24_wsa,4,USSTOT22,29847.32743579606
evers24_wsa,4,WAGDEM22,10904.212397290887
evers24_wsa,4,WAGREP22,18720.79765445044
evers24_wsa,4,WAGTOT22,29643.026248839687
evers24_wsa,4,WSTDEM22,9869.731473682401
evers24_wsa,4,WSTREP22,18722.156319833604
evers24_wsa,4,WSTTOT22,29343.104913707153
evers24_wsa,40,GOVDEM22,14979
evers24_wsa,40,GOVREP22,11273
evers24_wsa,40,GOVTOT22,26533
evers24_wsa,40,USSDEM22,14349
evers24_wsa,40,USSREP22,12102
evers24_wsa,40,USSTOT22,26478
evers24_wsa,40,WAGDEM22,14363
evers24_wsa,40,WAGREP22,11881
evers24_wsa,40,WAGTOT22,26253
evers24_wsa,40,WSTDEM22,13773
evers24_wsa,40,WSTREP22,11631
evers24_wsa,40,WSTTOT22,26067
evers24_wsa,41,GOVDEM22,11094
evers24_wsa,41,GOVREP22,13176
evers24_wsa,41,GOVTOT22,24614
evers24_wsa,41,USSDEM22,10445
evers24_wsa,41,USSREP22,14099
evers24_wsa,41,USSTOT22,24568
evers24_wsa,41,WAGDEM22,10627
evers24_wsa,41,WAGREP22,13776
evers24_wsa,41,WAGTOT22,24412
evers24_wsa,41,WSTDEM22,10015
evers24_wsa,41,WSTREP22,13582
evers24_wsa,41,WSTTOT22,24254
evers24_wsa,42,GOVDEM22,18284.81744421907
evers24_wsa,42,GOVREP22,11687.196754563895
evers24_wsa,42,GOVTOT22,30251.014198782963
evers24_wsa,42,USSDEM22,17554.125760649087
evers24_wsa,42,USSREP22,12505.411764705883
evers24_wsa,42,USSTOT22,30130.53752535497
evers24_wsa,42,WAGDEM22,17442.864097363083
evers24_wsa,42,WAGREP22,12428.673427991886
evers24_wsa,42,WAGTOT22,29885.53752535497
evers24_wsa,42,WSTDEM22,16732.69574036511
evers24_wsa,42,WSTREP22,12124.673427991886
evers24_wsa,42,WSTTOT22,29561.32251521298
evers24_wsa,43,GOVDEM22,14885.901033007136
evers24_wsa,43,GOVREP22,10903.001563332986
evers24_wsa,43,GOVTOT22,26051.795967096175
evers24_wsa,43,USSDEM22,14239.221808054303
evers24_wsa,43,USSREP22,11700.54572415447
evers24_wsa,43,USSTOT22,25995.82798386914
evers24_wsa,43,WAGDEM22,14180.776745174357
evers24_wsa,43,WAGREP22,11511.363016745803
evers24_wsa,43,WAGTOT22,25713.13976192016
evers24_wsa,43,WSTDEM22,13599.76385645547
evers24_wsa,43,WSTREP22,11279.284872454842
evers24_wsa,43,WSTTOT22,25525.654476902182
evers24_wsa,44,GOVDEM22,14156.098966992864
evers24_wsa,44,GOVREP22,9058.998436667014
evers24_wsa,44,GOVTOT22,23526.204032903825
evers24_wsa,44,USSDEM22,13574.778191945697
evers24_wsa,44,USSREP22,9772.45427584553
evers24_wsa,44,USSTOT22,23405.17201613086
evers24_wsa,44,WAGDEM22,13488.223254825643
evers24_wsa,44,WAGREP22,9714.636983254197
evers24_wsa,44,WAGTOT22,23223.86023807984
evers24_wsa,44,WSTDEM22,12986.23614354453
evers24_wsa,44,WSTREP22,9344.715127545158
evers24_wsa,44,WSTTOT22,23097.345523097818
evers24_wsa,45,GOVDEM22,11677
evers24_wsa,45,GOVREP22,8517
evers24_wsa,45,GOVTOT22,20478
evers24_wsa,45,USSDEM22,11116
evers24_wsa,45,USSREP22,9182
evers24_wsa,45,USSTOT22,20355
evers24_wsa,45,WAGDEM22,11066
evers24_wsa,45,WAGREP22,9087
